supplier_id,supplier_name,risk_score,latitude,longitude,region,tier,annual_spend_usd,last_audit_date
SUP-000001,Supplier 1,0.77,47.8,-16.03,LATAM,1,4606689,2025-08-07
SUP-000002,Supplier 2,0.44,17.23,-137.21,EMEA,2,2595147,2024-10-17
SUP-000003,Supplier 3,0.85,-28.17,24.9,APAC,3,3074412,2025-09-09
SUP-000004,Supplier 4,0.69,36.94,-123.69,APAC,1,1774633,2025-06-18
SUP-000005,Supplier 5,0.1,-49.02,-158.05,APAC,4,4454444,2026-05-22
SUP-000006,Supplier 6,0.97,40.67,-0.48,NA,1,384528,2024-08-07
SUP-000007,Supplier 7,0.76,16.7,55.93,NA,4,1389005,2024-01-25
SUP-000008,Supplier 8,0.78,-45.6,127.49,APAC,3,4954950,2024-04-30
SUP-000009,Supplier 9,0.14,-49.66,101.82,LATAM,4,2425782,2024-06-14
SUP-000010,Supplier 10,0.45,37.61,128.61,APAC,4,882120,2025-09-18
SUP-000011,Supplier 11,0.37,-21.92,93.62,EMEA,3,2074575,2024-05-18
SUP-000012,Supplier 12,0.92,55.61,73.17,LATAM,4,1283989,2024-05-06
SUP-000013,Supplier 13,0.64,39.07,-176.35,EMEA,2,2631181,2025-01-09
SUP-000014,Supplier 14,0.82,30.76,45.4,APAC,3,1187219,2026-01-08
SUP-000015,Supplier 15,0.44,-23.78,-136.63,EMEA,4,2002661,2025-02-04
SUP-000016,Supplier 16,0.23,32.16,-158.88,LATAM,1,4540627,2024-09-13
SUP-000017,Supplier 17,0.55,63.26,-123.69,EMEA,2,421014,2024-09-25
SUP-000018,Supplier 18,0.07,-48.1,116.39,LATAM,1,3820805,
SUP-000019,Supplier 19,0.82,-17.6,87.79,LATAM,3,400169,2025-02-13
SUP-000020,Supplier 20,0.63,-29.49,161.56,APAC,4,2292075,2024-12-13
SUP-000021,Supplier 21,0.75,-8.88,172.43,LATAM,1,3344980,2025-12-31
SUP-000022,Supplier 22,0.36,36.5,141.58,NA,3,4777560,2024-12-14
SUP-000023,Supplier 23,0.96,1.65,-132.15,EMEA,2,1257911,2024-12-02
SUP-000024,Supplier 24,0.89,14.19,136.22,LATAM,4,273389,2025-12-09
SUP-000025,Supplier 25,0.77,-19.16,121.91,APAC,1,3756735,2024-11-05
SUP-000026,Supplier 26,0.2,-41.63,133.59,EMEA,1,4469415,2025-04-26
SUP-000027,Supplier 27,0.47,-25.3,-125.39,APAC,1,2829637,2025-09-19
SUP-000028,Supplier 28,0.05,51.76,-137.95,NA,2,311532,2024-07-08
SUP-000029,Supplier 29,0.16,18.31,152.57,APAC,2,2508351,2024-05-01
SUP-000030,Supplier 30,0.68,-10.86,-117.42,EMEA,4,1961742,2026-03-13
SUP-000031,Supplier 31,0.74,42.69,-47.3,APAC,2,2262890,2024-10-07
SUP-000032,Supplier 32,0.96,-51.62,-15.85,EMEA,1,279484,2024-11-17
SUP-000033,Supplier 33,0.33,-26.99,-135.2,APAC,3,1593587,2025-07-10
SUP-000034,Supplier 34,0.37,-30.09,-172.57,LATAM,1,4994855,2024-04-07
SUP-000035,Supplier 35,0.47,68.1,177.87,APAC,2,238516,
SUP-000036,Supplier 36,0.2,31.79,135.6,NA,3,4572803,2025-01-27
SUP-000037,Supplier 37,0.14,20.31,148.44,LATAM,2,2592477,2026-07-03
SUP-000038,Supplier 38,0.48,-59.35,-77.56,LATAM,3,2928146,2025-06-25
SUP-000039,Supplier 39,0.23,-36.04,-100.76,EMEA,2,4668247,2025-06-30
SUP-000040,Supplier 40,0.67,22.62,-26.69,EMEA,4,1097044,2025-07-29
SUP-000041,Supplier 41,0.44,-10.64,-16.81,LATAM,2,4922184,2026-03-23
SUP-000042,Supplier 42,0.83,60.16,-177.98,NA,4,1391120,2026-02-27
SUP-000043,Supplier 43,0.7,39.41,100.53,NA,3,1751952,2024-01-23
SUP-000044,Supplier 44,0.32,-1.84,178.8,EMEA,3,2253221,2025-05-26
SUP-000045,Supplier 45,0.83,37.44,10.33,LATAM,1,3011669,2025-05-31
SUP-000046,Supplier 46,0.8,66.8,-40.23,EMEA,1,1620673,2024-07-30
SUP-000047,Supplier 47,0.39,-0.07,-38.61,NA,3,3967604,2026-07-09
SUP-000048,Supplier 48,0.29,23.53,-145.41,NA,2,116356,2024-09-04
SUP-000049,Supplier 49,0.68,59.43,-84.18,EMEA,2,3336353,2026-02-26
SUP-000050,Supplier 50,0.15,-27.67,0.77,LATAM,4,3284717,2024-04-05
SUP-000051,Supplier 51,0.21,55.25,-24.53,APAC,2,2677422,2025-07-22
SUP-000052,Supplier 52,0.02,-47.32,16.21,LATAM,2,3071005,2025-11-25
SUP-000053,Supplier 53,0.78,24.3,125.66,APAC,3,3740938,2025-04-20
SUP-000054,Supplier 54,0.66,41.77,-98.91,EMEA,4,4522510,2024-04-10
SUP-000055,Supplier 55,0.7,19.9,-170.04,APAC,4,1099726,2024-04-26
SUP-000056,Supplier 56,0.78,4.42,-166.24,EMEA,3,2389501,2025-07-25
SUP-000057,Supplier 57,0.46,20.26,-131.7,EMEA,1,2815324,2026-03-25
SUP-000058,Supplier 58,0.57,-40.28,25.37,APAC,1,1730097,2025-07-17
SUP-000059,Supplier 59,0.15,-31.98,110.95,LATAM,3,4869557,2024-04-05
SUP-000060,Supplier 60,0.12,-24.91,139.25,APAC,3,2562470,2026-01-11
SUP-000061,Supplier 61,0.67,17.71,48.64,NA,1,2967320,2025-03-09
SUP-000062,Supplier 62,0.47,-2.55,-34.87,NA,3,981528,2024-03-11
SUP-000063,Supplier 63,0.56,-28.22,-124.37,LATAM,4,2084800,2024-12-13
SUP-000064,Supplier 64,0.76,54.77,-35.49,EMEA,1,3131446,2024-07-10
SUP-000065,Supplier 65,0.63,-11.39,-60.33,NA,4,2147442,2026-07-20
SUP-000066,Supplier 66,0.55,-2.02,133.21,NA,2,3852464,2026-05-08
SUP-000067,Supplier 67,0.56,-6.74,-4.78,APAC,2,692251,2024-04-10
SUP-000068,Supplier 68,0.31,-36.35,-98.57,EMEA,3,775773,
SUP-000069,Supplier 69,0.04,35.11,-76.03,NA,1,1701558,2024-01-07
SUP-000070,Supplier 70,0.44,-1.7,-130.87,NA,1,1598732,
SUP-000071,Supplier 71,0.22,-57.89,150.69,APAC,4,4079111,2024-05-27
SUP-000072,Supplier 72,0.41,65.32,-161.88,NA,2,4340326,2025-12-06
SUP-000073,Supplier 73,0.85,46.05,-175.38,LATAM,1,2365070,2024-03-09
SUP-000074,Supplier 74,0.24,34.06,-114.12,EMEA,3,2532603,2026-05-01
SUP-000075,Supplier 75,0.07,52.98,111.91,NA,1,1478907,2024-08-06
SUP-000076,Supplier 76,0.29,57.88,8.45,LATAM,4,2663864,2024-09-05
SUP-000077,Supplier 77,0.3,-16.13,45.3,EMEA,1,3535279,2026-04-16
SUP-000078,Supplier 78,0.66,19.42,-51.22,NA,3,3614816,2026-04-30
SUP-000079,Supplier 79,0.56,19.15,-155.28,NA,2,4845152,2024-03-31
SUP-000080,Supplier 80,0.78,-25.25,128.22,APAC,4,2893685,2024-04-12
SUP-000081,Supplier 81,0.66,-31.15,-110.92,EMEA,3,1708188,2026-03-16
SUP-000082,Supplier 82,0.41,-45.19,-168.1,APAC,4,357203,2026-07-11
SUP-000083,Supplier 83,0.81,25.71,26.17,APAC,1,3442691,2025-04-06
SUP-000084,Supplier 84,0.17,41.52,-150.02,APAC,2,4021768,2024-06-04
SUP-000085,Supplier 85,0.03,38.92,-145.53,LATAM,4,2766510,2024-05-24
SUP-000086,Supplier 86,0.1,-18.88,108.14,NA,1,4614951,2024-09-08
SUP-000087,Supplier 87,0.72,-33.32,-3.02,LATAM,4,1591386,2025-10-09
SUP-000088,Supplier 88,0.46,-1.03,-93.06,LATAM,4,275853,2024-04-01
SUP-000089,Supplier 89,0.17,11.09,-54.49,APAC,3,3169401,2025-08-28
SUP-000090,Supplier 90,0.5,59.48,82.53,NA,1,615036,2026-01-28
SUP-000091,Supplier 91,0.16,53.73,-156.11,APAC,4,429738,2024-05-15
SUP-000092,Supplier 92,0.69,59.09,-138.07,APAC,4,3512856,2026-07-18
SUP-000093,Supplier 93,0.45,50.53,41.85,NA,2,2177648,2026-07-21
SUP-000094,Supplier 94,0.38,65.4,38.51,NA,3,3026324,2024-10-07
SUP-000095,Supplier 95,0.31,0.51,170.09,APAC,1,3741093,2024-04-15
SUP-000096,Supplier 96,0.63,-53.83,-45.16,NA,2,1918759,2024-11-03
SUP-000097,Supplier 97,0.36,-49.14,-156.57,NA,1,3059290,2024-08-31
SUP-000098,Supplier 98,0.1,-9.26,13.51,EMEA,3,2700850,2024-09-20
SUP-000099,Supplier 99,0.13,-26.5,49.8,LATAM,3,2904299,2026-05-23
SUP-000100,Supplier 100,0.95,-37.91,-129.74,NA,3,3519659,2024-05-26
